"Origin","Path","Name","Ext","Size","Hash"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG\PNG_0010.png","PNG_0010.png",".png","15045","22E512B71AA8326A6FF827A094576D4BBA04CF3DA652CE1D79F8199B174CC450"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG\PNG_0011.png","PNG_0011.png",".png","15226","8C66FC2C899616D62E21FE42F6A5E9F9A7CE09B184E35086D44A52FB666B0813"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-MASC\PNG_0001.png","PNG_0001.png",".png","8093","BCA4865489094C8C1FDA01388D65EE15CA2D56F08799C254AC19AC1D4AD5C4EB"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-MASC\PNG_0002.png","PNG_0002.png",".png","11456","D450D82FA39B175AA451EBC0035DE5F725D748DB2BA20D6FAA0DC7178122B7EB"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-MASC\PNG_0003.png","PNG_0003.png",".png","10593","89C8A99EBFB6082242FB77EC3AC8F330CF45A743DD471209525B48C227312162"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-MASC\PNG_0004.png","PNG_0004.png",".png","13422","5D9EC16C3629D7A06981347D7DAE6B488E1BEF57E885BCBB103287DE67EDE1F7"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-MASC\PNG_0005.png","PNG_0005.png",".png","11947","5A669F3B494C534C7F6CB49D579B9B7372A154524B0633CF2F3172797142027B"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-MASC\PNG_0006.png","PNG_0006.png",".png","13074","D2090F34CC012CE1F3044709C543DDF9D8AE31F32D36A6A932AB7BEB0A1C92D9"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-MASC\PNG_0007.png","PNG_0007.png",".png","11587","9C314380FA754332A93803C974F40B08043DCD67C31F0F74EA9DC2A8484171AC"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-MASC\PNG_0008.png","PNG_0008.png",".png","13034","D3CCCC4B7FC0E4385F94C849E7E948B53A73F10A3303B0C0E922F561BFF46937"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-MASC\PNG_0009.png","PNG_0009.png",".png","10255","E6AA592311245D7100D2FE09113865876871F507EA840F9CF8E0B957A402E24D"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-SURGE\PNG-SURGE_0001.png","PNG-SURGE_0001.png",".png","4609","AAFD623754879DD55E027F9CDD26ACB3766BB7E41203BE8B62D11E11BE84B7F8"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-SURGE\PNG-SURGE_0002.png","PNG-SURGE_0002.png",".png","4690","91BE2500827A859D9E992C26CA6851C0F4BE8D7D9FB491D4913867A730E9ACD1"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-SURGE\PNG-SURGE_0003.png","PNG-SURGE_0003.png",".png","3836","3A7517A4F63424D60B601160031C9E811D101A5915DF4150C8250196FF41602E"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-SURGE\PNG-SURGE_0004.png","PNG-SURGE_0004.png",".png","5646","610BA46BA41691032FC8BDDEC3A8C561B9B040EE10BA2D6D809B089BB4BB8A36"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-SURGE\PNG-SURGE_0005.png","PNG-SURGE_0005.png",".png","4275","1B868BA5308FE0727CCF2074DF410796C0E0C79EB4B39F2C8899FC662D3AF5B0"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-SURGE\PNG-SURGE_0006.png","PNG-SURGE_0006.png",".png","6185","57DA9E3027BAF160439C21CED9DCF3C4B6C9B0E5CBD8C58003CC7EB08911325F"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-SURGE\PNG-SURGE_0007.png","PNG-SURGE_0007.png",".png","11393","F800CED7AC6EC74B286C810E34DE52E33D5B5D821BA2AAEA83CD90C9CB8FAE00"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-SURGE\PNG-SURGE_0008.png","PNG-SURGE_0008.png",".png","12724","CFEC3DD26B2CF407AFD123719C9734379C4EAA97A940593471424DDEC95D3AE4"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-SURGE\PNG-SURGE_0009.png","PNG-SURGE_0009.png",".png","11299","C12459C49921E6109FD9F94B56F379D1F65F777054124B06506B693C2A230A43"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-SURGE\PNG-SURGE_0010.png","PNG-SURGE_0010.png",".png","13761","64ABC7ADE13B110F9283A30045DC176CF0464F602FEC9EAFA8F2600A12661A9E"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-SURGE\PNG-SURGE_0011.png","PNG-SURGE_0011.png",".png","11724","0A89DCCDEE30AD57E6A415DD3C5E14B9D7E952F2D2BA782C30CBD2E4CD83E594"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-SURGE\PNG-SURGE_0012.png","PNG-SURGE_0012.png",".png","14930","145956E68E31BAD12ED844CCC730499782525849E1C8CA954FDE0C3BB9803A80"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG-SURGE\PNG-SURGE_0013.png","PNG-SURGE_0013.png",".png","12200","480956F040DC23F7912F759D97498B00B4308594DEB4C16B191E8C2993FDD804"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\attk-1.gif","attk-1.gif",".gif","43749","AD4DB5B96BEC566C28651C7B69CBCC2FB8A223306D6CA693423FE0D5F7A2C66B"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\preparação.gif","preparação.gif",".gif","22594","07AA1881010BB744EA44C9812379363F6E5B1049386ADB29452F374BA5F3F13A"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\ATTK\PNG_0001.png","PNG_0001.png",".png","5657","0C8F618672416CB2E65D88128C63901F858059AA3CA2025B63DBC3C2EDD78F43"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\ATTK\PNG_0002.png","PNG_0002.png",".png","8041","5BDB5963A74437BCA2715CE55D865CE50D03CBCCBB5C221534B2A99E5DB72EF3"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\ATTK\PNG_0003.png","PNG_0003.png",".png","10839","310B788354F79BCE2C7C8235F76BC2F6AE1B5C61947E8AD6129DA2A7357DB386"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\ATTK\PNG_0004.png","PNG_0004.png",".png","12272","687CEE43F6C2D61F46C93D4050A34A336BCC6052847EC21C49FF80875D1C10F5"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\ATTK\PNG_0005.png","PNG_0005.png",".png","11586","003B1C4CF11E41924B90238FC15CB08C9290854EE83054C59BB16B39AD50F059"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\ATTK\PNG_0006.png","PNG_0006.png",".png","13888","6A24FEA06039B6A52EFEF45EA4CBEEC88E263622D3E85F59F2D1AB889039AFBC"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\ATTK\PNG_0007.png","PNG_0007.png",".png","12627","C7CEB418309B5D9D2B9B30F679D897DCABC629F139E8558A5490B056095C645A"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\ATTK\PNG_0008.png","PNG_0008.png",".png","14575","D7AC3217AF68A611192C2D92DCD0D624FAF3D58BE576431CACA0419313641D8B"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\ATTK\PNG_0009.png","PNG_0009.png",".png","10180","A21ABEB1217E4EED23DE98CC9144877EC9C7DE7C937A8E41DC2148BD8F12422B"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\PNG_0001.png","PNG_0001.png",".png","5569","E92F562D43130E7CC1B95AF942ECA9BC64AE3DCA31BDAE049AC24383DF8AAAB3"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\PNG_0002.png","PNG_0002.png",".png","9236","2DE509FF97B545BB72A20279BC1EE9336C400903E0B7C6A2703ABD1AFA19C266"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\PNG_0003.png","PNG_0003.png",".png","8254","F4BE21605702BD75C0CFBD2AE420CBB77F8EE7F31EA30F6B41DB9F29BDB008EF"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\PNG_0004.png","PNG_0004.png",".png","8081","069AB4BC1AF734ABF5181CD762EE27602C5DD91E2A79DE5F2AC8CA8DFF0728A5"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\PNG_0005.png","PNG_0005.png",".png","6960","2659F914568A7C5AB805C88EEA5EF6D167937E87F476CFDA73A27F6FBFC4078B"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\PNG_0006.png","PNG_0006.png",".png","7802","ACF06E2DF09BE9860BDFCF5FF4E35AFCA0DD704F177D0730BA7E12ACC3F0BD7B"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\PNG_0007.png","PNG_0007.png",".png","5654","9C8F6668D499F27719780554F0C93618EEE10ABC3BA7448947A879F5DF409DA8"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk-def.gif","special-attk-def.gif",".gif","56817","2CE34CB3A71702E831B6E8F3A0634A4832032E76017AE347AE3D6C73A11AA403"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk.gif","special-attk.gif",".gif","56813","B86750122007BEB5B5D12723D9354D24015C856DB5B3ABE79FD0E8269A8C262A"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk_0001.png","special-attk_0001.png",".png","6390","1751BABCD4A4CC33B0001A05E99D09D60D90E2D0BB44071AB3BE853CB79D6782"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk_0002.png","special-attk_0002.png",".png","14099","1437B473CE3D84F70D4716D6670AC22E4528A50CD41A351960D4D3547C9E849A"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk_0003.png","special-attk_0003.png",".png","15936","0B1609A990A1F5956D22009C5E1E8A5CBE95A7F87690793D506A0A5E5A5663BE"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk_0004.png","special-attk_0004.png",".png","18383","6D88F21A04BBF21C259327A2BBFD1EAB3C0797E85A5E051D42CCB476F88045C1"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk_0005.png","special-attk_0005.png",".png","14680","C9B7DF51461B711B66DEC9004A366303B3846EF0CD11817296708873248CC8C4"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk_0006.png","special-attk_0006.png",".png","12685","D195CA90FE6CA0169CE9567E0819788E67E5B6ADED862185ED08D4CFBD4EC5C1"
